loan_amount,interest_rate,term_months,start_date,end_date,borrower_age,borrower_income,credit_score,defaulted,is_simulated_anomaly
16795,0.1441,36,2024-02-01,2027-01-16,25,130268,320,1,0
38194,0.0851,60,2024-08-03,2029-07-08,53,80263,430,1,0
1769,0.1166,24,2025-10-01,2027-09-21,38,103104,759,0,0
72932,0.0818,12,2025-08-31,2026-08-26,44,45658,810,1,0
3747,0.074,36,2023-09-03,2026-08-18,61,76886,543,0,0
12394,0.1332,60,2022-01-27,2027-01-01,26,100038,573,0,0
74969,0.0762,24,2025-07-22,2027-07-12,19,144243,391,1,0
49555,0.0894,36,2022-04-05,2025-03-20,31,55920,687,0,0
53995,0.0522,24,2025-01-02,2026-12-23,43,91211,461,1,0
33606,0.1406,48,2023-09-29,2027-09-08,57,109812,637,0,0
13185,0.1458,48,2024-03-08,2028-02-16,62,125512,456,0,0
49984,0.1484,12,2023-12-27,2024-12-21,61,22695,771,1,0
40504,0.1154,36,2023-07-11,2023-06-11,50,32666,789,0,1
53251,0.1336,48,2021-11-23,2025-11-02,51,72256,347,1,0
64335,0.063,36,2022-01-29,2025-01-13,18,118018,761,0,0
7910,0.0607,36,2025-07-26,2028-07-10,26,20206,314,1,0
24419,0.0429,12,2024-06-15,2025-06-10,69,74268,395,0,0
72910,0.0792,36,2022-08-16,2025-07-31,46,53827,824,1,0
23299,0.1416,60,2021-09-08,2026-08-13,23,115003,327,1,0
26939,0.1371,36,2023-07-04,2026-06-18,45,41976,530,0,0
31080,0.8216,12,2024-06-21,2025-06-16,69,147948,558,1,1
22959,0.0941,60,2024-08-14,2029-07-19,50,118098,533,0,0
35766,0.0502,12,2023-12-29,2024-12-23,69,74384,796,0,0
53733,0.1136,36,2025-03-11,2028-02-24,66,87172,380,1,0
1854,0.0634,12,2023-08-29,2024-08-23,18,146354,429,1,0
27309,0.059,48,2021-11-02,2025-10-12,28,129751,422,1,0
38157,0.0741,48,2022-07-22,2026-07-01,51,85733,810,0,0
26184,0.0481,36,2023-06-18,2026-06-02,23,71663,648,0,0
3811,0.1113,36,2025-04-25,2028-04-09,43,54754,810,0,0
3911,0.0415,12,2024-09-16,2025-09-11,50,103879,637,0,0
2802,0.0709,12,2022-04-07,2023-04-02,67,67254,714,0,0
31306,0.0574,24,2021-12-21,2023-12-11,65,127512,301,0,0
21932,0.1381,36,2025-01-17,2028-01-02,26,27400,398,1,0
